题目	选项1	选项2	选项3	选项4	选项5	选项6	答案
第一次国共合作的政治基础是（  ）。	A.新三民主义	B.新民主主义	C.社会主义	D.三民主义
研究生开卷考试时，研究生不得携带（     ）。	A.手写笔记	B.教师指定的教材	C.复印、打印材料	D.必要的文具
假期留校学生，（       ）应在学生工作综合管理平台内申请，学校根据留校学生数量进行集中住宿或分散住宿；宿舍管理部门根据申请名单进行供水供电，留校学生必须遵守留校管理规定，未办理留校手续的宿舍，一律不予住宿、供水、供电。	A.团支书	B.舍长	C.学生本人	D.班长
个别学生非院内宿舍调整的，由（     ）在学生工作综合管理平台提出申请，经学院审批后由宿舍管理部门具体安排床位。	A.团支书	B.舍长	C.学生本人	D.班长
个别学生学院内部宿舍调整的，由（     ）在学生工作综合管理平台提出申请，经学院审批后进行调整。	A.团支书	B.舍长	C.学生本人	D.班长
发现（         ）等事故，在场学生或其他人员应迅速协助学校采取措施，控制事态发展，减轻伤害和损失；在保卫部指导下保护好现场，并立即与学生所在学院、学生主管部门、当地公安、消防等部门取得联系，及时进行处理。	A.治安案件	B.交通	C.灾害	D.刑事
学生社区委员会、研究生社区服务中心应配合学校做好宿舍日常检评、宿舍文化建设等工作，发挥学生自我管理、自我服务、自我教育的积极作用；学生宿舍检评包括（           ）等，实行定期公布制度。	A.日常安全用电检查	B.晚熄灯检查	C.学生晚归检查	D.日常卫生检查
住校学生应按时起床，按时返宿、熄灯，晚归学生必须进行登记，以下属于我校学生住宿管理办法内容的是（        ）：	A.严禁私拉线路和使用违规电器、明火、炊煮用具、 饲养宠物	B.严禁学生未经请假彻夜不归	C.严禁学生未经批准私自在校外租房住	D.严禁翻墙入室
学生宿舍是学生生活、学习场所，住宿学生应按照指定的寝室、床位住宿，未经宿舍管理部门准许不得自行（         ）床位，不得留宿非本宿舍成员；男宾未经同意不得进入女生宿舍。	A.私占	B.出借	C.转让	D.调换
学生集体外出活动必须严格执行活动审批制度，应（            ），严禁学生未经同意擅自组织集体外出活动。	A.购买人身意外保险	B.乘坐有资质车辆	C.通过正规旅行社组织	D.老师带队参加
学生安全管理的主要任务是：传达和贯彻国家及福建省有关学生安全管理工作的（          ），对学生实施安全教育及管理，积极预防、妥善处理各类安全事故，引导学生健康成长。	A.政策	B.法律	C.法规	D.方针
被认定为存在（    ）行为的研究生，情节严重者给予开除学籍处分，情节较轻且认识态度端正者给予留校察看处分；为在职人员的，除给予纪律处分外，还应当通报其所在单位。	A.学术造假	B.抄袭	C.一稿多投	D.学术不端
学生在学校规定学习年限内，修完教育教学计划规定内容，但未达到学校毕业要求的，学校可以准予结业，发给（      ）。	A.学位证书	B.肄业证书	C.结业证书	D.毕业证书
学生参加学校组织的跨校联合培养项目，在联合培养学校学习期间，学校同时为其保留（      ）。	A.学籍	B.报到	C.学业	D.入学资格
学校要坚持（       ），科学管理，健全和完善管理制度，规范管理行为，将管理与育人相结合，不断提高管理和服务水平。	A.依法治校	B.全面发展	C.统筹发展	D.立德树人
学校要坚持以立德树人为根本，以理想信念教育为核心，培育和践行（     ）核心价值观，弘扬中华优秀传统文化和革命文化、社会主义先进文化，培养学生的社会责任感、 创新精神和实践能力。	A.共产主义	B.全面发展	C.立德树人	D.社会主义
对违反国家招生规定取得入学资格或者学籍的，学校应当取消其学籍，不得发给学历证书、学位证书；已发的学历证书、学位证书，学校应当依法予以（    ）。	A.撤销	B.销毁	C.取消	D.剥夺
每学期开学时，学生应当按学校规定办理（     ）手续。不能如期注册的，应当履行暂缓注册手续。未按学校规定缴纳学费或者有其他不符合注册条件的，不予注册。	A.登记	B.报备	C.复学	D.注册
宿舍内不得储藏或使用易燃、易爆、有毒和强腐蚀性物品，不得使用明火、不  得使用或保管违规电器、不得违规使用电器，不得私拉电线、盗用公共用电，违者给予（   ）以上处分。因以上行为引起火灾造成严重后果者，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
留校察看处分的察看期为 （  ）个月，延长期为 （  ）个月，延长期满仍不符合解除察看条件的，给予开除学籍处分。	A.12	B.9	C.6	D.3	E.24
学生（   ）处分，由相关学院查证并作出处分建议，经学院学生违纪处分委员会讨论后报学生工作部（处） 审批。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
扰乱、破坏学校组织或经学校批准的群体性活动者，视情节轻重给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
学生有下列行为之一，视其情节轻重，给予记过以上处分：（    ）	A.扰乱社会秩序或破坏学校的管理秩序，破坏安定团结的；	B.学生寻衅滋事、打架斗殴，致人轻伤的；	C.故意销毁试卷、答卷或者考试材料的；	D.未在规定的座位参加考试的	E.违反宪法，反对四项基本原则，组织、参加未经批准的游行、示威活动；
对有违反法律法规、本规定以及学校纪律行为的学生，学校给予批评教  育，并视情节轻重，给予如下纪律处分：（     ）	A.警告	B.严重警告	C.记过	D.留校察看	E.开除学籍	F.通报批评
学生有下列哪些情形之一的，学校可以给予开除学籍处分：（     ）	A.组织、成立、加入非法社会团体或组织，从事非法活动	B.张贴大字报、投递、散发反对四项基本原则的传单和言论，混淆视听，制造混乱	C.剽窃、抄袭他人研究成果，情节严重的	D.违反学校规定，严重影响学校教育教学秩序、生活秩序以及公共场所管理秩序，侵害其他个人、组织合法权益，造成严重后果的	E.住宿生未经批准，私自在校外租房住的	F.违反宪法，反对四项基本原则、破坏安定团结、扰乱社会秩序的
参与赌博者，给予（   ）处分。	A.严重警告	B.留校察看	C.严重警告或记过	D.记过
住宿生未经批准，私自在校外租房住，给予（  ）处分。	A.严重警告	B.记过	C.开除学籍	D.警告
盗窃公私财物，视其情节轻重，给予（   ）以上处分；诈骗、抢夺、敲诈勒索公  私财物比照盗窃从重处理。	A.记过	B.留校察看	C.开除学籍	D.警告
组织作弊，或向他人出售考试试题或答案牟取利益的，给予（   ）处分。	A.记过	B.留校察看	C.开除学籍	D.警告
以各种形式散布、传播反动言论、虚假信息或有害信息，制造混乱，造成不良影响及后果的，视其情节轻重，给予（  ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
一学期累计旷课达（   ） 学时者，给予警告处分；达（   ） 学时者，给予严重警告处分；达（   ）学时者，给予记过处分；达 （   ）学时以上者，给予留校察看处分。	A.20	B.30	C.40	D.50	E.10
宿舍内不得储藏或使用易燃、易爆、有毒和强腐蚀性物品，不得使用明火、不得使用或保管违规电器、不得违规使用电器，不得私拉电线、盗用公共用电，违者给予（   ）以上处分。因以上行为引起火灾造成严重后果者，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
侵害其他个人、组织合法权益，视其情节轻重及后果，给予（  ）处分；造成严重后果的，给予（  ）处分。	A.严重警告	B.记过	C.记过或留校察看	D.留校察看	E.开除学籍	F.警告
扰乱社会秩序、危害校园治安和安全、侵害他人权益者，有（     ）情形之一的，视其情节轻重给予警告至记过处分：	A.酒后滋事者。	B.扰乱校园秩序、影响他人正常学习生活者。	C.扰乱、破坏学校组织或经学校批准的群体性活动者。	D.在学生宿舍及其它禁烟区吸烟者，经批评教育不改者。
违反国家、学校有关消防条例和安全规定，经批评教育不改者，给予（   ）处分。因上述行为引起火灾者，给予（   ）以上处分。	A.严重警告	B.记过	C.警告至记过	D.留校察看	E.开除学籍	F.警告
参与斗殴、未造成人员伤害者，视情节轻重给予（   ）以上处分；斗殴致人  轻伤，所有参与斗殴者一律给予（   ）以上处分。	A.警告	B.严重警告	C.记过	D.留校察看	E.开除学籍	F.通报批评
学生违法、违纪，有下列哪些情形之一，从重或者加重处分：（     ）。	A.强迫、唆使他人违法、违纪的	B.串供、抵赖或者伪造、销毁、隐匿证据的	C.屡次违法、违纪受到纪律处分，经教育不改者	D.包庇同案人员或者打击报复批评人、检举人、控告人、证人及其他人员的	E.违法、违纪行为的主要责任人或组织者
处分决定必须在生效之日起 （   ）个工作日内由受处分学生所在学院交给受处分学生，并由受处分学生在存档的处分决定上签名。	A.10	B.15	C.30	D.5
研究生个人培养计划中的课程变更累计超过 __ ，须经过培养与学籍管理办公室主任审批，并纳入培养质量跟踪对象。	A.3门（含3门）	B.4门（含4门）	C.5门（含5门）	D.2门（含2门）
研究生优秀助研奖学金的申报次数为 __ 。	A.一年两次	B.两年一次	C.无要求	D.一年一次
对于1份评审成绩为良好及以上学位论文，另一份成绩为 __ 的学位论文，硕士生需根据评阅意见认真修改，方可申请答辩。	A.良好及以上	B.一般	C.较差	D.优秀及以上
研究生所提交的预答辩论文、送审论文、答辩论文被在校研究生院抽查检测出文字复制比超过 __ 者，不得举行论文答辩。	A.25%（含25%）	B.30%（含30%）	C.35%（含35%）	D.20%（含20%）
在学术造假或学术不端行为调查认定过程中，当事研究生的导师及其利害关系人应遵循 __ 。	A.回避原则	B.举证原则	C.参与原则	D.不理原则
非全日制研究生比全日制研究生的学习年限可相应延长半年至 __ ，一般不得提前毕业。	A.一年	B.一年半	C.两年	D.10个月
不论何种原因，研究生超过规定的最长学习年限而未能完成培养计划规定内容或未通过论文答辩的，予以 __  。	A.肄业	B.退学	C.以上三种皆可	D.结业
硕士学位论文答辩不合格的，经论文答辩委员会同意，可以在 （   ）内修改论文，重新答辩一次。	A.半年	B.一年	C.两年	D.3个月
硕士学位论文答辩不合格的，经论文答辩委员会同意，可以在（   ）内修改论文，重新答辩一次。	A.半年	B.一年	C.两年	D.3个月
毕业研究生申请硕士学位，必须满足：（   ）。	A.学位课程考试合格	B.学位论文答辩通过	C.科研成果突出	D.修完专业培养方案和个人培养计划所规定的学分
研究生学期注册规定须知包括：（    ）。	A.未按时注册的研究生，不能进行选课	B.经导师安排在国内其他省市实习或参与项目的，由导师事先向学院说明情况后代为办理注册手续	C.学期注册工作于每学期开学两周内完成，对于未请假或请假未获准逾期两周未注册者，按自动退学处理。	D.因病或其他特殊原因不能按时返校注册的，必须事先向所在学院履行请假手续
有学术不端行为且有下列情形之一，应当认定为情节严重：（    ）	A.对举报人进行打击报复的	B.有组织实施学术不端行为的	C.多次实施学术不端行为的	D.存在利益输送或利益交换的
学位论文专家评审成绩分为以下几档：（    ）	A.良好	B.一般	C.较差	D.优秀
变更研究生个人培养计划表中的课程，须经过（   ）同意。	A.学院	B.研究生院	C.管理科	D.导师
指导教师应当对学位申请人员进行以下指导：（    ）。	A.学术规范教育	B.学位论文研究和撰写过程指导	C.学位论文独立完成情况审查	D.学术道德教育
以下哪些行为属于学术造假行为：（    ）。	A.由他人代写、为他人代写学位论文或组织学位论文代写的	B.剽窃他人作品和学术成果的	C.伪造数据的	D.购买、出售学位论文或组织学位论文买卖的
对于硕士学位，以下表述正确的是：（    ）。	A.申请人员不得同时向两个学位授予单位提出申请	B.申请硕士学位人员必须通过规定的课程考试，成绩合格，方可参加论文答辩	C.硕士学位论文对所研究的课题应当有新的见解，表明作者具有从事科学研究工作或独立担负技术工作的能力。	D.由国务院授权的高等学校和科学研究机构授予
福州大学校训的来源（    ）。	A.“明德”指：大学之道，在明明德，在亲民，在止于至善。	B.“至诚”出自《中庸》。	C.“博学远（笃）志”出自《论语》：博学而笃志，切问而近思，仁在其中矣。	D.“明德”出自《大学》
（）年，福建省决定新办一所工科大学——福州大学，两年后任命卢嘉锡先生为福州大学副校长。	A.1952	B.1960	C.1955	D.1958
福州大学校歌由（）作词。	A.齐商	B.李式耀	C.李武耀	D.王商
下列哪些是福州大学校歌歌词？	A.西山苍苍，东海茫茫	B.学无涯，思无缰	C.立德立言，无问西东	D.榕树香，花茶香
福州大学校庆日是（）。	A.9月1日	B.10月30日	C.9月25日	D.10月25日
（）学科进入ESI学科全球排名前1‰。	A.土木工程	B.化学	C.电气工程	D.计算机
在俄国十月革命影响下，率先在中国举起马克思主义旗帜的是（  ）。	A.李达	B.陈独秀	C.毛泽东	D.李大钊
（  ）是现阶段我国经济发展和经济工作的主线。	A.推进供给侧结构性改革	B.转变经济发展方式	C.做大经济总量	D.优化经济结构
疫情防控期间，前往图书馆等公共场所时，做到（   ）。	A.人员密集或近距离接触时佩戴口罩，做好手卫生	B.尽量使用线上预约、扫码支付等非接触预约	C.尽可能选择通风良好、环境卫生整洁的位置	D.备好口罩、消毒湿纸巾或免洗洗手液
新型冠状病毒感染的肺炎传播特点有哪些？	A.呼吸道飞沫是主要传播途径	B.可通过接触传播	C.抵抗力好的人群不易感染	D.传染源主要是新型冠状病毒感染的肺炎患者
新型冠状病毒的潜伏期为（ ）。	A.1～5天	B.1～10天	C.1～14天	D.1～7天
关于在家中预防新型冠状病毒感染的具体措施，以下说法不正确的是  （   ）。	A.室内多通风换气，并保持整洁卫生	B.将白醋放在暖气片上，消毒室内空气	C.坚持安全饮食，食用肉类和蛋类要煮熟	D.适当运动，早睡早起，提高自身免疫力
目前对“新型冠状病毒感染的肺炎” 密切接触者医学观察期定为（    ）天。	A.7	B.12	C.30	D.14
在新型冠状病毒医院感染预防与控制中，应提高防控意识，做到（      ）、（      ）、（      ）、     （       ）、早治疗。	A.早推断	B.早诊断	C.早报告	D.早隔离	E.早送医	F.早发现
学校会对以下哪些行为给予警告直至开除学籍处分？	A.在宿舍留宿他人或到他人宿舍留宿的	B.不配合工作人员进出登记、测量体温、证件检查等疫情防控工作的	C.公寓内出现疑似或确诊病例，不按照学校要求进行集中隔离的	D.串访宿舍且不听劝阻的
学生应严格遵守疫情期间外出管理规定。有以下行为的，给予警告直至开除学籍处分。（）	A.擅自带校外人员进入校园的；	B.外出返校后，不按学校疫情防控要求采取相应措施的；	C.擅自通过校门、围墙、栅栏等与校外人员近距离接触的。	D.未请假或请假未经批准，擅自离开学校的；
学生应严格遵守疫情期间外出管理规定。有以下行为的，给予警告直至开除学籍处分。（ ）	A.外出返校后，不按学校疫情防控要求采取相应措施的	B.严格按照疫情防控规定佩戴口罩，保持社交距离	C.未请假或请假未经批准，擅自离开学校的	D.擅自带校外人员进入校园的
参与赌博者，给予（     ）处分。	A.严重警告	B.留校察看	C.严重警告或记过	D.记过
从事色情活动者，给予（   ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
在校内组织，参与宗教活动，经告诫不改的，视情节轻重，给予（   ）以上处分。	A.留校察看	B.开除学籍	C.严重警告
调戏、侮辱或以其它方式骚扰他人者，视其情节轻重给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
抄袭他人试题答案或者与考试内容相关资料，协助他人抄袭试题答案或者与考试内容相关资料的，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
用规定以外的笔或者纸答题，或者在试卷规定以外的地方书写姓名、考号或者 以其它方式在答卷上标记信息的，给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.警告
携带规定以外的物品进入考场，未按监考人员要求放在指定位置的，给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.警告
学位论文，公开发表的研究成果存在抄袭，篡改，伪造等学术不端行为，情节 严重的，或者代写论文，买卖论文的，给予（  ）处分。	A.记过以上	B.留校察看	C.开除学籍	D.警告
在学习年限内曾受“（   ）”及以上处分且处分尚未解除者，学校不授予学位。	A.警告	B.严重警告	C.记过	D.通报批评
被认定为存在学术造假行为的，情节严重者给予（   ）处分。	A.记过	B.留校察看	C.开除学籍	D.警告
引注文献不端行为，引用他人成果但不注明出处或未引用他人成果而做虚假引注。具体表现为（ ）：	A.将他人的调查资料、统计数据、论据等用作论证自己的论点，不注明出处	B.将他人的论点、论据与自己的论点、论据混在一起的，不明确区分标注	C.使用他人未发表的成果，不注明出处	D.未引用他人文献，而做虚假的引注	E.使用、引用他人的观点、论据、调查资料、统计数据、方案和构架等，不注明出处
学生应当遵守国家和学校关于网络使用的有关规定，不得登录非法网站和传播非法（          ）资料等，不得编造或者传播虚假、有害信息；不得攻击、侵入他人计算机和移动通讯网络系统。	A.视频	B.图像	C.音频
学校应当鼓励、支持和指导学生参加（        ），可以建立创新创业档案、设置创新创业学分。	A.创新创业活动	B.发表论文	C.获得专利授权	D.社会实践
学生在校期间依法享有下列权利（           ）。	A.参加社会实践、志愿服务、勤工助学、文娱体育及科技文化创新等活动，获得就业创业指导和服务	B.申请奖学金、助学金及助学贷款	C.在思想品德、学业成绩等方面获得科学、公正评价，完成学校规定学业后获得相应的学历证书、学位证书	D.在校内组织、参加学生团体，以适当方式参与学校管理，对学校与学生权益相关事务享有知情权、参与权、表达权和监督权	E.参加学校教育教学计划安排的各项活动，使用学校提供的教育教学资源
学生一般应当在被录取学校完成学业。因患病或者有特殊困难、特别需要，无法继续在本校学习或者不适应本校学习要求的，可以申请转学。有下列情形之一， 不得转学（           ）。	A.高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的	B.由低学历层次转为高学历层次的	C.以定向就业招生录取的	D.研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的	E.入学未满一学期或者毕业前一年的
学生体育成绩评定要突出过程管理，可以根据（         ） 等情况综合评定。	A.课外锻炼活动	B.体质健康	C.课内教学
实施学生管理，应当尊重和保护学生的合法权利，教育和引导学生承担应尽的义务与责任，鼓励和支持学生实行（          ）。	A.自我服务	B.自我教育	C.自我监督	D.自我管理
学生应当拥护中国共产党领导，努力学习（          ）和治国理政新理念新思想新战略。	A.毛泽东思想	B.中国特色社会主义理论体系	C.习近平总书记系列重要讲话精神	D.马克思列宁主义
不得将垃圾、剩饭、剩菜等杂物倒入下水道，下水道如果堵塞应及时疏通，费用由住宿学生自行承担；室内垃圾（     ），一律装入垃圾袋后放置各楼层垃圾桶内。	A.放在走廊	B.随意丢弃	C.放在门口	D.不出门
因结业、转学、出国等原因终止学籍的，学生应在收到离校通知书（     ）内，持离校通知书到所在的宿舍楼及宿舍管理部门办理退宿手续。	A.10天	B.二周	C.15天	D.一周
凡经学校指定的专业医院确诊为精神病、癫痫病患者且不适合在校继续修读的学生，应予（      ），由其监护人负责领回。学生及其监护人不得无理纠缠，扰乱学校教学、生活秩序。	A.保留学籍	B.保留入学资格	C.放弃入学资格	D.退学
学生参与学校的各项活动应严格遵守纪律和有关规定，听从指挥，服从管理（          ）：	A.自觉遵守文娱体育场馆、教室、图书馆等公共场所及宿舍区管理的有关规定，防止人身意外伤害事故	B.在学习、社会实践中，应严格遵守有关管理规定，注意人身、 财物和交通安全	C.在军训、劳动中，应严格遵守有关管理规定，注意人身、 财物和交通安全	D.严格遵守实验室安全操作规程，避免发生实验事故
学生应严格遵守国家法律、法规和学校的各项规章制度，自觉维护学校和社会的稳定，维护国家安全，不得参与危害（           ）的活动，不能有损害他人利益的行为。	A.社会稳定	B.国家安全	C.学校稳定	D.社会秩序
有学术不端行为且有下列情形之一的，应当认定为情节严重（        ）：	A.存在利益输送或者利益交换的	B.有组织实施学术不端行为的	C.多次实施学术不端行为的	D.造成恶劣影响的
学院组织毕业班学生会餐应报学院院长或书记审批，会餐应在 21：45 前结束，毕业会餐（     ）饮用较高度数酒，饮用啤酒和其它饮料应少量、适度，确保会餐活动的安全。	A.一律不得	B.少量	C.可以	D.适量
因工作需要组织学生班级、年级及各类党、团、学组织会餐的，（      ）饮酒。	A.一律不得	B.少量	C.可以	D.适量
举报人或者学术不端行为责任人对处理决定不服的，可以在收到处理决定之日起（     ）日内，以书面形式向高等学校提出异议或者复核申请。	A.15	B.20	C.30	D.10
被认定为存在学术不端行为的研究生，情节严重者给予（      ）处分，但认识态度端正者给予记过处分；情节较轻、未造成影响者，视情况给予严重警告或警告处分或批评教育等。	A.留校察看	B.严重警告	C.警告	D.开除学籍
被认定为存在学术造假行为的研究生，情节严重者给予（    ）处分，情节较轻且认识态度端正者给予（      ）处分；为在职人员的，除给予纪律处分外，还应当通报其所在单位。	A.留校察看、严重警告	B.开除学籍、严重警告	C.留校察看、警告	D.开除学籍、留校察看
对完成本专业学业同时辅修其他专业并达到该专业辅修要求的学生，由学校发给（      ）。	A.学位证书	B.辅修专业证书	C.结业证书	D.毕业证书
学生应当树立(   )思想，具有团结统一、爱好和平、勤劳勇敢、自强不息的精神。	A.共产主义	B.爱国主义	C.新时代	D.集体主义
复查中发现学生身心状况不适宜在校学习，经学校指定的（     ）以上医院诊断，需要在家休养的，可以按照规定保留入学资格。	A.二级甲等	B.三级甲等	C.四级甲等	D.一级甲等
按国家招生规定录取的新生，持录取通知书，按学校有关要求和规定的期限到校办理入学手续。因故不能按期入学的，应当向学校请假。未请假或者请假逾期的，除因不可抗力等正当事由以外，视为（     ）。	A.放弃入学资格	B.保留学籍	C.开除学籍	D.退学
下面各项可给予予警告至记过处分的是	A.扰乱校园秩序、影响他人正常学习生活者。	B.扰乱、破坏学校组织或经学校批准的群体性活动者。	C.故意损毁或涂改学校有效公告者。	D.在学生宿舍及其它禁烟区吸烟者，给予批评教育；经批评教育不改者。
学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，视情节轻重及后果，给予（   ）以上处分；代写论文、买卖论文的，给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
策划、怂勇、教唆他人打架斗殴，未造成不良后果者，给予（   ）处分；造成不良后果者，给予（   ）处分。	A.严重警告或记过	B.记过或留校察看	C.留校察看或开除学籍	D.警告或严重警告
